report,report_field,eeu_name
iesve,Heating Fossil Fuel,Heating_NaturalGas
iesve,Heating Electricity,Heating_Electricity
iesve,Space Cooling,Cooling_Electricity
iesve,Fans Interior,Fans_Electricity
iesve,Heat Rejection,Heat Rejection_Electricity
iesve,Pumps,Pumps_Electricity
iesve,DHW Fossil Fuel,DHW_NaturalGas
iesve,DHW Electricity,DHW_Electricity
iesve,Interior Lighting,Interior Lighting_Electricity
iesve,Exterior Lighting,Exterior Lighting_Electricity
iesve,Receptacle,Plug Loads_Electricity
iesve,Data Center,OtherEndUse_Electricity
iesve,Cooking Fossil Fuel,OtherEndUse_NaturalGas
iesve,Cooking Electricity,OtherEndUse_Electricity
iesve,Elevators & Escalators,OtherEndUse_Electricity
iesve,Refrigeration,Process Refrigeration_Electricity
iesve,Process,OtherEndUse_Electricity
iesve,TOTAL (ex renewables),total_calc
equest_beps,LIGHTS_elec,Interior Lighting_Electricity
equest_beps,TASK LIGHTS_elec,Interior Lighting_Electricity
equest_beps,MISC EQUIP_elec,OtherEndUse_Electricity
equest_beps,SPACE HEATING_elec,Heating_Electricity
equest_beps,SPACE COOLING_elec,Cooling_Electricity
equest_beps,HEAT REJECT_elec,Heat Rejection_Electricity
equest_beps,PUMPS & AUX_elec,Pumps_Electricity
equest_beps,VENT FANS_elec,Fans_Electricity
equest_beps,REFRIG DISPLAY_elec,Process Refrigeration_Electricity
equest_beps,HT PUMP SUPPLEM_elec,OtherEndUse_Electricity
equest_beps,DOMEST HOT WTR_elec,DHW_Electricity
equest_beps,EXT USAGE_elec,ExteriorUsage_Electricity
equest_beps,TOTAL_elec,total_electricity
equest_beps,LIGHTS_gas,OtherEndUse_NaturalGas
equest_beps,TASK LIGHTS_gas,OtherEndUse_NaturalGas
equest_beps,MISC EQUIP_gas,OtherEndUse_NaturalGas
equest_beps,SPACE HEATING_gas,Heating_NaturalGas
equest_beps,SPACE COOLING_gas,OtherEndUse_NaturalGas
equest_beps,HEAT REJECT_gas,Heat Rejection_Electricity
equest_beps,PUMPS & AUX_gas,Pumps_NaturalGas
equest_beps,VENT FANS_gas,Fans_Electricity
equest_beps,REFRIG DISPLAY_gas,Process Refrigeration_Electricity
equest_beps,HT PUMP SUPPLEM_gas,OtherEndUse_NaturalGas
