egrid_regional_description,egrid_acronym,co2eq_per_kg_mbtu
South/Central Alaska,AKGD,164.51
Most of Alaska,AKMS,204.25
Southwest US,AZNM,163.78
Southwest Coast,CAMX,139.65
Most of TX,ERCT,157.08
Most of Florida,FRCC,135.59
HI excluding Oahu,HIMS,220.93
Oahu Island,HIOA,238.79
Eastern WI,MROE,208.05
Upper Midwest,MROW,242.02
New England,NEWE,120.32
Northwest US,NWPP,206.74
New York City,NYCW,123.9
"Long Island, NY",NYLI,175.45
Upstate NY,NYUP,117.46
Puerto Rico,PRMS,215.71
Mid Atlantic,RFCE,181.37
Most of Michigan,RFCM,229.69
Ohio Valley,RFCW,240.68
CO-Eastern WY,RMPA,215.73
KS-Western MO,SPNO,257.91
TX Panhandle-OK,SPSO,211.69
Lower Mississippi,SRMV,157.06
Middle Mississippi,SRMW,236
"SE US, Gulf Coast",SRSO,184.97
Tennessee Valley,SRTV,218.87
Virginia/Carolina,SRVC,181.37
