egrid_regional_description,egrid_acronym,co2eq_per_kg_mbtu
South/Central Alaska,AKGD,142.73
Most of Alaska,AKMS,64.75
Southwest US,AZNM,109.42
Southwest Coast,CAMX,70.93
Most of TX,ERCT,108.63
Most of Florida,FRCC,111.18
HI excluding Oahu,HIMS,152.06
Oahu Island,HIOA,218.74
Eastern WI,MROE,211.67
Upper Midwest,MROW,133.34
New England,NEWE,72.32
Northwest US,NWPP,84.88
New York City,NYCW,108.72
"Long Island, NY",NYLI,162.04
Upstate NY,NYUP,31.11
Puerto Rico,PRMS,207.9
Mid Atlantic,RFCE,89.86
Most of Michigan,RFCM,162.43
Ohio Valley,RFCW,139.92
CO-Eastern WY,RMPA,155.03
KS-Western MO,SPNO,132.81
TX Panhandle-OK,SPSO,137.86
Lower Mississippi,SRMV,103.08
Middle Mississippi,SRMW,206.67
"SE US, Gulf Coast",SRSO,119.17
Tennessee Valley,SRTV,124.62
Virginia/Carolina,SRVC,85.46
