,lat,lat_long_deg,climate_zone,long,station_name,wmo_code
0,-14.33060,S 14° 19.84'   W 170° 42.82',0A,-170.7136,ASM ET Tafuna-Pago.Pago.Intl.AP.917650 US.Normals.1981-2010,917650
1,-14.33060,S 14° 19.84'   W 170° 42.82',0A,-170.7136,ASM ET Tafuna-Pago.Pago.Intl.AP.917650 US.Normals.1991-2020,917650
2,-14.33060,S 14° 19.84'   W 170° 42.82',0A,-170.7136,ASM ET Tafuna-Pago.Pago.Intl.AP.917650 US.Normals.2006-2020,917650
3,7.45000,N 7° 27.00'   E 151° 50.00',0A,151.8333,FSM CH Chuuk.Intl.AP.913340 US.Normals.1991-2020,913340
4,9.48330,N 9° 29.00'   E 138° 5.00',0A,138.0833,FSM YA Yap.Intl.AP.914130 US.Normals.1991-2020,914130
5,9.48330,N 9° 29.00'   E 138° 5.00',0A,138.0833,FSM YA Yap.Intl.AP.914130 US.Normals.2006-2020,914130
6,13.48360,N 13° 29.02'   E 144° 47.77',0A,144.7961,GUM TM Tamuning-Won.Pat.Intl.AP.912120 US.Normals.1981-2010,912120
7,13.48360,N 13° 29.02'   E 144° 47.77',0A,144.7961,GUM TM Tamuning-Won.Pat.Intl.AP.912120 US.Normals.1991-2020,912120
8,13.48360,N 13° 29.02'   E 144° 47.77',0A,144.7961,GUM TM Tamuning-Won.Pat.Intl.AP.912120 US.Normals.2006-2020,912120
9,13.58330,N 13° 35.00'   E 144° 55.00',0A,144.9167,GUM YG Andersen.AFB.912180 US.Normals.1981-2010,912180
10,13.58330,N 13° 35.00'   E 144° 55.00',0A,144.9167,GUM YG Andersen.AFB.912180 US.Normals.1991-2020,912180
11,13.58330,N 13° 35.00'   E 144° 55.00',0A,144.9167,GUM YG Andersen.AFB.912180 US.Normals.2006-2020,912180
12,8.73330,N 8° 44.00'   E 167° 44.00',0A,167.7333,MHL MH Kwajalein-Bucholz.AAF.913660 US.Normals.1981-2010,913660
13,8.73330,N 8° 44.00'   E 167° 44.00',0A,167.7333,MHL MH Kwajalein-Bucholz.AAF.913660 US.Normals.1991-2020,913660
14,8.73330,N 8° 44.00'   E 167° 44.00',0A,167.7333,MHL MH Kwajalein-Bucholz.AAF.913660 US.Normals.2006-2020,913660
15,15.11670,N 15° 7.00'   E 145° 43.00',0A,145.7167,MNP SA Saipan.Intl.AP.912320 US.Normals.2006-2020,912320
16,7.33330,N 7° 20.00'   E 134° 29.00',0A,134.4833,PLW KO Babelthuap.Koror.AP.914080 US.Normals.2006-2020,914080
17,61.25000,N 61° 15.00'   W 149° 48.00',7,-149.8000,USA AK Anchorage-JB.Elmendorf-Richardson.702720 US.Normals.1981-2010,702720
18,61.25000,N 61° 15.00'   W 149° 48.00',7,-149.8000,USA AK Anchorage-JB.Elmendorf-Richardson.702720 US.Normals.1991-2020,702720
19,61.25000,N 61° 15.00'   W 149° 48.00',7,-149.8000,USA AK Anchorage-JB.Elmendorf-Richardson.702720 US.Normals.2006-2020,702720
20,61.17810,N 61° 10.69'   W 149° 57.98',7,-149.9664,USA AK Anchorage-Lake.Hood.Seaplane.Base.702725 US.Normals.1991-2020,702725
21,61.17810,N 61° 10.69'   W 149° 57.98',7,-149.9664,USA AK Anchorage-Lake.Hood.Seaplane.Base.702725 US.Normals.2006-2020,702725
22,61.21690,N 61° 13.01'   W 149° 51.30',7,-149.8550,USA AK Anchorage-Merrill.Field.AP.702735 US.Normals.1981-2010,702735
23,61.21690,N 61° 13.01'   W 149° 51.30',7,-149.8550,USA AK Anchorage-Merrill.Field.AP.702735 US.Normals.1991-2020,702735
24,61.21690,N 61° 13.01'   W 149° 51.30',7,-149.8550,USA AK Anchorage-Merrill.Field.AP.702735 US.Normals.2006-2020,702735
25,61.16890,N 61° 10.13'   W 150° 1.67',7,-150.0278,USA AK Anchorage.Stevens.Intl.AP.702730 US.Normals.1981-2010,702730
26,61.16890,N 61° 10.13'   W 150° 1.67',7,-150.0278,USA AK Anchorage.Stevens.Intl.AP.702730 US.Normals.1991-2020,702730
27,61.16890,N 61° 10.13'   W 150° 1.67',7,-150.0278,USA AK Anchorage.Stevens.Intl.AP.702730 US.Normals.2006-2020,702730
28,61.58330,N 61° 35.00'   W 159° 32.00',7,-159.5333,USA AK Aniak.AP.702320 US.Normals.2006-2020,702320
29,55.03890,N 55° 2.33'   W 131° 34.72',5C,-131.5786,USA AK Annette.Island.AP.703980 US.Normals.2006-2020,703980
30,71.28330,N 71° 17.00'   W 156° 46.88',8,-156.7814,USA AK Barrow-Post-Rogers.Meml.AP.700260 US.Normals.1981-2010,700260
31,71.28330,N 71° 17.00'   W 156° 46.88',8,-156.7814,USA AK Barrow-Post-Rogers.Meml.AP.700260 US.Normals.1991-2020,700260
32,71.28330,N 71° 17.00'   W 156° 46.88',8,-156.7814,USA AK Barrow-Post-Rogers.Meml.AP.700260 US.Normals.2006-2020,700260
33,60.78500,N 60° 47.10'   W 161° 49.75',7,-161.8292,USA AK Bethel.AP.702190 US.Normals.1981-2010,702190
34,60.78500,N 60° 47.10'   W 161° 49.75',7,-161.8292,USA AK Bethel.AP.702190 US.Normals.1991-2020,702190
